OBJECTID,pointid,grid_code,X,Y
513,987878,0.486055791,-73.91073013,40.90641479
514,987879,0.29411763,-73.91018741,40.90641479
515,987880,0.598002553,-73.90964468,40.90641479
516,987881,0.444805205,-73.90910196,40.90641479
517,987882,0.408450723,-73.90855923,40.90641479
518,987883,0.380219758,-73.90801651,40.90641479
519,987884,0.181624845,-73.90747378,40.90641479
520,987885,0.006962564,-73.90693106,40.90641479
521,987886,0.200218245,-73.90638834,40.90641479
522,987887,0.128474817,-73.90584561,40.90641479
523,987888,0.574021041,-73.90530289,40.90641479
524,987889,-0.04633845,-73.90476016,40.90641479
525,987890,0.145643681,-73.90421744,40.90641479
526,987891,0.02191879,-73.90367471,40.90641479
527,987892,0.053905357,-73.90313199,40.90641479
528,987893,0.092772938,-73.90258927,40.90641479
529,987894,0.068773255,-73.90204654,40.90641479
530,987895,0.223404258,-73.90150382,40.90641479
531,987896,0.045492113,-73.90096109,40.90641479
532,987897,0.216940373,-73.90041837,40.90641479
533,987898,0.07801418,-73.89987564,40.90641479
534,987899,0.118411019,-73.89933292,40.90641479
535,987900,0.327503949,-73.89879019,40.90641479
536,987901,0.200774699,-73.89824747,40.90641479
537,987902,0.126822129,-73.89770475,40.90641479
538,987903,0.065817423,-73.89716202,40.90641479
539,987904,0.043853819,-73.8966193,40.90641479
540,987905,0.240143359,-73.89607657,40.90641479
541,987906,0.36715281,-73.89553385,40.90641479
542,987907,0.293381959,-73.89499112,40.90641479
543,987908,0.391082793,-73.8944484,40.90641479
544,987909,0.440548778,-73.89390567,40.90641479
545,987910,0.486271024,-73.89336295,40.90641479
546,987911,0.493670881,-73.89282023,40.90641479
547,987912,0.479999989,-73.8922775,40.90641479
548,987913,0.324717313,-73.89173478,40.90641479
549,987914,0.318828464,-73.89119205,40.90641479
550,987915,0.290271103,-73.89064933,40.90641479
551,987916,0.268588781,-73.8901066,40.90641479
552,987917,0.267672747,-73.88956388,40.90641479
553,987918,0.31076926,-73.88902116,40.90641479
554,987919,0.411016941,-73.88847843,40.90641479
555,987920,0.427692324,-73.88793571,40.90641479
556,987921,0.366705418,-73.88739298,40.90641479
557,987922,0.298799723,-73.88685026,40.90641479
558,987923,0.221264362,-73.88630753,40.90641479
559,987924,0.320821106,-73.88576481,40.90641479
560,987925,0.408105582,-73.88522208,40.90641479
561,987926,0.290237457,-73.88467936,40.90641479
562,987927,0.433083981,-73.88413664,40.90641479
563,987928,0.309941471,-73.88359391,40.90641479
564,987929,0.319712847,-73.88305119,40.90641479
565,987930,0.467281133,-73.88250846,40.90641479
566,987931,0.360617757,-73.88196574,40.90641479
567,987932,0.349684656,-73.88142301,40.90641479
568,987933,0.280575544,-73.88088029,40.90641479
569,987934,0.272727281,-73.88033756,40.90641479
570,987935,0.195325524,-73.87979484,40.90641479
571,987980,0.305216402,-73.85537224,40.90641479
572,987981,0.030402653,-73.85482952,40.90641479
573,987982,0.016177116,-73.85428679,40.90641479
574,987983,-0.001701632,-73.85374407,40.90641479
575,987984,0.133537188,-73.85320135,40.90641479
576,987985,0.014616009,-73.85265862,40.90641479
577,987986,0.00372579,-73.8521159,40.90641479
578,987987,0.074573219,-73.85157317,40.90641479
